"","Country","count"
"1","AD",1
"2","AE",144
"3","AR",108
"4","AT",18
"5","AU",22
"6","AW",3
"7","AZ",4
"8","BE",19
"9","BG",5
"10","BH",21
"11","BN",5
"12","BO",4
"13","BR",102
"14","BS",10
"15","CA",1468
"16","CH",61
"17","CL",96
"18","CN",2734
"19","CO",11
"20","CR",11
"21","CW",3
"22","CY",10
"23","CZ",28
"24","DE",160
"25","DK",21
"26","EG",31
"27","ES",101
"28","FI",8
"29","FR",132
"30","GB",901
"31","GR",28
"32","GT",7
"33","HU",16
"34","ID",268
"35","IE",73
"36","IN",88
"37","JO",17
"38","JP",1237
"39","KH",4
"40","KR",993
"41","KW",106
"42","KZ",8
"43","LB",29
"44","LU",2
"45","MA",9
"46","MC",2
"47","MX",579
"48","MY",234
"49","NL",59
"50","NO",17
"51","NZ",24
"52","OM",12
"53","PA",5
"54","PE",89
"55","PH",298
"56","PL",53
"57","PR",24
"58","PT",11
"59","QA",18
"60","RO",27
"61","RU",109
"62","SA",102
"63","SE",18
"64","SG",130
"65","SK",3
"66","SV",11
"67","TH",289
"68","TR",326
"69","TT",3
"70","TW",394
"71","US",13608
"72","VN",25
"73","ZA",3
